text,AC,ACP,label
"This is a great place to take out-of-towners, and perfect for watching the sunset.",ambience,positive,3
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,ambience,positive,3
i love the pics of andy warhol when he used to frequent the place (he painted the ballato's sign in the window).,ambience,positive,3
"Chance is a small cozy restaurant, with a romantic feel to it, the decor is great.",ambience,positive,3
"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",ambience,negative,1
"We love the food, drinks, and atmosphere!",ambience,positive,3
Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,ambience,positive,3
"It's a shame that a nice, convenient place like the Pink Pony can be so ruined by lousy service.",ambience,positive,3
The entertainment was great they have shows that go on through out the dinner.,ambience,positive,3
"Of course this atmosphere is lacking, but what do you expect from a 24 hour bagel place anyways?",ambience,negative,1
All the NYU students love this place so it makes for a fun young atmosphere.,ambience,positive,3
Zero ambiance to boot.,ambience,negative,1
From the moment we walked in they were more than accomodating even though the place was packed.,ambience,negative,1
"Odd for Ave B, not just odd, The place attracts an eclectic crowd to say the least.",ambience,neutral,2
"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",ambience,positive,3
"Despite the fact that the space is large, they've overcrowded the floor with tables.",ambience,negative,1
I had to share my table with a loud group of kids and the service was rude an unattentive.,ambience,negative,1
This place is always very crowded and popular.,ambience,positive,3
"Well, this place is so Ghetto its not even funny.",ambience,negative,1
"Behind this counter, two men are squeezed in.",ambience,negative,1
Here's to the fake fish tanks too...,ambience,negative,1
"Everything is excellent, the menu is quite extensive, and you eat with a view on both sides of the city.",ambience,positive,3
Rao's has the best service and atmosphere in NYC.,ambience,positive,3
"The decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices.",ambience,positive,3
The ambience is authentic and relaxing and we have always received attentive and prompt service.,ambience,positive,3
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",ambience,positive,3
"The place does get crowded, so I recommend going between 4-5 PM.",ambience,neutral,2
"But the best part about LS is the late night atmosphere, delightfully free of the BTs.",ambience,positive,3
Check out the secret back room.,ambience,positive,3
"This is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!",ambience,positive,3
"It's constantly open, catering to the Pakistani cabbies lined up on Crosby St., so there's more turnover with the food than you'd expect (i.e., surprisingly fresh).",ambience,positive,3
"Its location is good and the fact that Hutner College is near and their prices are very reasonable, makes students go back to Suan again and again.",ambience,positive,3
"You will pay a lot for the decore, but the food is no better or worse than a lot of other Chinese and Asian fusion places in NY.",ambience,negative,1
"It is about FOOD and Ambiance, and imagine how dreadful it will be it we only had to listen to an idle engine.",ambience,negative,1
"There's nice and quiet, small but enough for 6 (or more).",ambience,neutral,2
Really cool stauff inside.,ambience,positive,3
The design and atmosphere is just as good.,ambience,positive,3
Very affordable and excellent ambient!,ambience,positive,3
If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,ambience,negative,1
A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,ambience,positive,3
They are often crowded on the weekends but they are efficient and accurate with their service.,ambience,negative,1
There was no ambiance.,ambience,negative,1
"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",ambience,negative,1
A word to the wise - the Hoboken health inspector clued me to his findings that this is THE cleanest restaurant in town.,ambience,positive,3
"When you enter, you feel like you have entered your mom's kitchen.",ambience,positive,3
"My GF and I still choose to eat there a lot because of diverse cocktails, the chill decor, and the decent sushi.",ambience,positive,3
Oh and it's too tiny for families with strollers.,ambience,negative,1
Cornelia Street looks like a Broadway set for West Side Story and the inside of Po is so cool quaint you really can't top the setting for a romantic dinner in NYC.,ambience,positive,3
Authentic Shanghai style and I cannot recommend a better Shanghai place in New York.,ambience,positive,3
"Just don't take the seat between the bar and the back half of the restaurant, i saw a woman get nudged 40times sitting there.",ambience,negative,1
Total hipster-wannabe attitude in an otherwise sweet spot.,ambience,positive,3
Got a little loud after 8pm when the joint got full.,ambience,negative,1
"Always popular, always full, always a wait.",ambience,positive,3
"It's true, you feel like your in a scene from Goodfellas.",ambience,neutral,2
"Because we didn't have a reservation, we could only sit in the back garden, but it was great, secluded and perfect in nice weather.",ambience,positive,3
"We made early dinner reservations and were thoroughly impressed, reminds me of my grandfather, its old school Italian scenery with lots of fun stuff to admire.",ambience,positive,3
Restaurant was dirty and unkempt.,ambience,negative,1
There is a real gallery of stars that have visited.,ambience,neutral,2
"Service was excellent, and the AC worked very well too (thank God, it was hot!).",ambience,positive,3
PERFECT FOR DATES!,ambience,positive,3
Right off the L in Brooklyn this is a nice cozy place with good pizza.,ambience,positive,3
"A cool bar with great food, and tons of excellent beer.",ambience,positive,3
"at night, but it's hard to hear your own conversation with everyone else competing for that same luxury - the music playing in the background is also voluminous.",ambience,negative,1
"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.",ambience,negative,1
"While the room is not particularly comfortable, once you're seated you'll forget about everything except what's on your plate.",ambience,negative,1
The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,ambience,negative,1
This is definitely an  excellent date spot because of the ambiance and on the weekends the  night scene is more than alive.,ambience,positive,3
But the thing that my wife and I hated was it was so loud and it felt like 'bar' or 'pub'.,ambience,negative,1
"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",ambience,neutral,2
The characters really make for an enjoyable experience.,ambience,positive,3
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",ambience,positive,3
Interior was so so.,ambience,negative,1
Seating is ok even though sometimes there's alot of people.,ambience,positive,3
"While the ambiance and atmosphere were great, the food and service could have been a lot better.",ambience,positive,3
It's a small cute restaurant.,ambience,positive,3
"While we thoroughly enjoyed the food, it was annoying to scream across the table for conversation.",ambience,negative,1
"When we left at 8:00 PM, it was packed and noisy.",ambience,negative,1
"Decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well.",ambience,positive,3
And I could do without the cigar smoke.,ambience,negative,1
The place is small and cramped but the food is fantastic.,ambience,negative,1
I would highly recommend this place to anyone looking for a casual atmosphere that whisks you away to the left bank of the river Seine.,ambience,positive,3
"Excellent atmosphere, delicious dishes good and friendly service.",ambience,positive,3
"So, for good food i'd recommend it, but not for a fun night out.",ambience,negative,1
The atmosphere was crowded but it was a great bistro-type vibe.,ambience,positive,3
A bit breezy up there on the mezzanine from the wind coming from the tracks.,ambience,negative,1
"It's super-trendy and there's always someone to take that empty seat, so it seems that customer service has been deemed not of the essence.",ambience,positive,3
"The puke green walls leave a lot to be desired, but the food is very good.",ambience,negative,1
"For myself and family we would only go here to celebrate an occassion, I do prefer smaller, quiter restaurants.",ambience,neutral,2
Cozy romantic atomosphere with only around 15 tables at most.,ambience,positive,3
The service is good and the resturant is clean.,ambience,positive,3
"I didn't complain, I liked the atmosphere so much.",ambience,positive,3
"While this can hardly be called a restaurant, it is possibly the best deal in Manhatten: $4 for a plate heaped with rice and 2-3 entrees.",ambience,negative,1
"However, go for the ambience, and consider the food just a companion for a trip across the world!",ambience,positive,3
Some of the finest latin women you'll see in your life hang out at Jimmy's.,ambience,positive,3
And everytime I go there's a bunch of drunk idiots making a scene out front.,ambience,negative,1
I was with a party of 7 (close but not next the the front doors) and we were eating with our coats on.,ambience,negative,1
The restaurant is rather small but we were lucky to get a table quickly.,ambience,negative,1
The space is nice but when we order our drink we were in for a surprise.,ambience,positive,3
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",ambience,positive,3
"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",ambience,positive,3
"Probably much busier for lunch, it's seldom crowded for dinner (too close to downtown).",ambience,neutral,2
"The place is sleek, modern and playfull and i will return again frequently.",ambience,positive,3
Prices too high for this cramped and unappealing resturant.,ambience,negative,1
"It's like you are transported to the Italian countryside, very romantic and filled with antiques.",ambience,positive,3
"Our waiter was fine, the place looks nice in that not-trying-too-hard way, but at those prices, a little more should be expected of your food.",ambience,positive,3
"Very romantic fires - I've literally spent hours at Lanterna, drinking wine from their extensive wine and enjoying the ambience.",ambience,positive,3
"Very neighborhoody, very quick and sufficient.",ambience,positive,3
For those prices and the dressed up atmosphere you expect more and should get more.,ambience,negative,1
"Great roofdeck, nice group of 30 somethings, but no music, kind of quiet.",ambience,neutral,2
The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty.,ambience,positive,3
Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.,ambience,positive,3
The photos of the restaurant in its web site are way better than the real look.,ambience,negative,1
I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,ambience,negative,1
The establishment scores big points in presentation and style.,ambience,positive,3
This place is the most Japanese it can ever get.,ambience,positive,3
"While the new restaurant still features much of the same classical furniture that made Tiffin so attractive, the menu has been overhauled.",ambience,positive,3
"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.",ambience,negative,1
"When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.",ambience,positive,3
People dress in suits or evening gowns as well as shirts jeans.,ambience,neutral,2
I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,ambience,positive,3
"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",ambience,positive,3
"If the weather is nice, try to snag an outside table.",ambience,neutral,2
"The vibe is very relaxed and cozy, service was great and the food was excellent!",ambience,positive,3
Don't waste money on decor.,ambience,positive,3
"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",ambience,positive,3
"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",ambience,positive,3
Service was also horrible and the ambience is not that great.,ambience,negative,1
The ambience is very calm and quiet.,ambience,positive,3
"Nice atmosphere, the service was very pleasant and the desert was good.",ambience,positive,3
Its a go-to for dates as well as entertaining out of town guests.,ambience,positive,3
"While the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck.",ambience,negative,1
"Inside is a little cramped, but to be expected.",ambience,negative,1
It was tiny and I felt like I was eating in someone's living room.,ambience,negative,1
"Nice restaurant overall, with classic upscale Italian decor.",ambience,positive,3
The ambience is very romantic and definitely a good place to bring a date.,ambience,positive,3
The place was quiet and delightful.,ambience,positive,3
"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.",ambience,positive,3
"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",ambience,negative,1
"Aside from the bearded, courdoroy blazer professor type with the NYU student he's sleeping with that week, you see a strange mix of hipsters, frat boys, Will Smith types who need to be told they are black, bitter cougars who cant understand why they arent married yet....",ambience,neutral,2
You can barely see who you are with never mind have a conversation.,ambience,negative,1
"Everything looks great, the drinks, the decor, the food, even the people.",ambience,positive,3
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",ambience,positive,3
It's a much more grown up restaurant compared to the rest of the street.,ambience,neutral,2
"We recently decided to try this location, and to our delight, they have outdoor seating, perfect since I had my yorkie with me.",ambience,positive,3
Decor is minimalist and clean - nothing to distract or commend.,ambience,neutral,2
"The service was mediocre, and the lack of air conditioning made for a less than comfortable meal.",ambience,negative,1
"I was a little leary about Mary's at first - it's small, crowded and you usually have to wait on line - but I'm glad I finally tried it.",ambience,negative,1
"I found it on a cold night, the perfect spot to warm up.",ambience,positive,3
This place is incredibly tiny.,ambience,negative,1
"The noise level was unbearable, conversation impossible.",ambience,negative,1
"Even if the food wasn't this good, the garden is a great place to sit outside and relax.",ambience,positive,3
The entire place and the treatment we received felt as a conveyor belt.,ambience,negative,1
"No dress codes, no attitudes, plenty of comfort companionship, a great place to relax in an always busy Midtown.",ambience,positive,3
"Don't expect to sit down inside though, there are only a few tables and they are always full.",ambience,negative,1
The seats are uncomfortable if you are sitting against the wall on wooden benches.,ambience,negative,1
"The food was delicious, the atmosphere was relaxed, and we have now adopted Plate 347 as our Secret on Second!",ambience,positive,3
I felt as though I were eating in Paris.,ambience,positive,3
"The food was amazing, the service was so attentive and personable, and how about that ambience!",ambience,positive,3
It is one the nicest outdoor restaurants I have ever seen in NY--I am from Italy and this place rivals the ones in my country.,ambience,positive,3
And even with it's Pub atmosphere they were great to my kids too!,ambience,positive,3
"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.",ambience,positive,3
"All the money went into the interior decoration, none of it went to the chefs.",ambience,positive,3
It's a nice place to relax and have conversation.,ambience,positive,3
"I can't wait for summer, when they serve outside on their gigantic patio.",ambience,positive,3
"The view is spectacular, and the food is great.",ambience,positive,3
Patroon features a nice cigar bar and has great staff.,ambience,positive,3
"Anyhow, we were able to sit as long as we wanted and chat, which was nice.",ambience,positive,3
We had a great tiem watching the shows and characters and ar food was just what we were looking for.,ambience,positive,3
The pizza is yummy and I like the atmoshpere.,ambience,positive,3
"Decent Thai food in cute - though a bit dank - little Nolita hangout, BUT service terrible.",ambience,positive,3
"The second you walk through the heavy vault like door, with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime.",ambience,positive,3
"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",ambience,neutral,2
we decided to eat in tea room which was small and cute.,ambience,positive,3
The dining room is quietly elegant with no music to shout over -- how refreshing!,ambience,positive,3
Its not the same if you have to sit inside.,ambience,neutral,2
"It can be a very fun experience with a group, and kids (6 and over) would love it.",ambience,positive,3
"The decor is really blah, and not at all hip or happening.",ambience,negative,1
"This place has the best interior I have seen anywhere in the northside of W'burg, and will impress whoever you bring there.",ambience,positive,3
A cool place to hang with your friends for a couple of healthy drinks and desserts.,ambience,positive,3
"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",ambience,positive,3
"Nice ambiance, nice little bar, good bartender, Francois, and good service.",ambience,positive,3
"If it isn't for the food (A+++), it must be the service or the ambience.",ambience,positive,3
"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.",ambience,neutral,2
"Either that, or the editor's idea of romance must be sharing a conversation with the next table, while trying to speak louder than the traffic on 57th.",ambience,negative,1
"Good crowd, good outdoor seating, with a hip japanese vibe.",ambience,positive,3
"Best of all is the warm vibe, the owner is super friendly and service is fast.",ambience,positive,3
I was very impressed by this low-key upper eastsider and their authentically thai cuisine!!!,ambience,positive,3
"The place is larger than most and features adequate seating unlike most joints, and has a bar which deserves a mention.",ambience,positive,3
Located at the end of a magnificent block.,ambience,positive,3
"If you're looking for a place to sit down, have a drink and conversations with friends, go to sweet-n-tart and order yourself a hong-kong styled milk and tea with tapioca pearls (hot).",ambience,positive,3
Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,ambience,positive,3
They don't walk around with the trays of Dim Sum.,ambience,positive,3
The service is good and ambience is good for a date or group outing.,ambience,positive,3
"Ambiance and music funky, which I enjoy.",ambience,positive,3
"Spice is sleek, modern and cool with a menu that will not hurt your wallet.",ambience,positive,3
"We ate out in the back patio, which is worth it as it's cool and the music is hear well there.",ambience,positive,3
"Sure, the setting is nice.",ambience,positive,3
"You get what you pay for and with that logic in mind, Spice is a great place to grab some cheap eats and drinks in a beautiful setting.",ambience,positive,3
"This place, however, has a lot less pretension than Joya and the Thai food is still above-average.",ambience,positive,3
"The service was poor, restaurant poorly lit, staff not very attentive and I would have rather eaten at a Mcdonald's than this joint.",ambience,negative,1
"The atmosphere is unheralded, the service impecible, and the food magnificant.",ambience,positive,3
"Great food, good size menu, great service and an unpretensious setting.",ambience,positive,3
"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",ambience,neutral,2
I REALLY ENJOYED THE SHOWS PUT ON BY THE ACTORS.,ambience,positive,3
"The place is a little tight and on a cold day, the seating by the entranceway can be pretty drafty.",ambience,negative,1
"Cute place, nice wait staff but would never go there again.",ambience,positive,3
"Its a nice quiet location to go eat a good meal, relax, be able to talk and have a very good time.",ambience,positive,3
I LOVED THE SHOWS.,ambience,positive,3
There is not a single place in Chinatown where you have a nice neighborhood feeling like here.,ambience,positive,3
"Most people eat there seem to be typical Upper East Side snobs, so be aware.",ambience,negative,1
"Great spot, whether looking for a couple of drinks or quiet dinner.",ambience,positive,3
"Great food, great decor, great service.",ambience,positive,3
"The food was very good, a great deal, and the place its self was great.",ambience,positive,3
"Great for groups, great for a date, great for early brunch or a nightcap.",ambience,positive,3
I love this cozy around the way Rest.,ambience,positive,3
My only problem is that you are literally sitting on top of the people next to you!,ambience,negative,1
The owner and staff are all Japanese as well and that adds to the entire ambiance.,ambience,positive,3
"The blond wood decor is very soothing, the premium sake is excellent and the service is great.",ambience,positive,3
"Always a nice crowd, but never loud.",ambience,positive,3
"The staff makes you feel at home, the food is great and the atmosphere is WONDERFUL!",ambience,positive,3
"The ambience was nice, but service wasn't so great.",ambience,positive,3
The place itself is beautiful the bar scene seems to be happening.,ambience,positive,3
The service is fine and they allow you to enjoy the view.,ambience,positive,3
"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",ambience,positive,3
"However, I think this place is a good hang out spot.",ambience,positive,3
"Good, dark atmosphere and the music is a nice touch.",ambience,positive,3
"Nha Trang, while being notorious for utter lack of comfort and decor, horribly slow wait staff and horribly quick meals, is one of the best vietnamese restaurants i've ever been to. the pho is delicious and comes with very fresh vegtables.",ambience,negative,1
"I like the ambience, it's very dark and original.",ambience,positive,3
The place is so cool and the service is prompt and curtious.,ambience,positive,3
Not pretentious and very economical.,ambience,positive,3
"The staff was very attentive, the ambience lovely, and the food superb.",ambience,positive,3
Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,ambience,negative,1
The music is the best among all the Indian restaurants I have visited.,ambience,positive,3
Ambiance- relaxed and stylish.,ambience,positive,3
Decor is nice though service can be spotty.,ambience,positive,3
I've lived in NYC all my life and had never before seen so many waterbugs in one place (except in a really bad dream).,ambience,negative,1
Not the typical NYC gimmick theme restaurant.,ambience,positive,3
This is a cute place and could be good but they need to get their act together.,ambience,positive,3
"good music, great food, speedy service affordable prices.",ambience,positive,3
They need a kick out of it but until then the sushi is pretty good and the place is consistent.,ambience,positive,3
"Raga's is a romantic, cozy restaurant.",ambience,positive,3
First went here to enjoy their garden terrace.,ambience,positive,3
Our last time there a few weeks ago was early at 5pm and it was very crowded and noisy.,ambience,negative,1
"The food was below average, the service was pathetic, there was no ambience at all.",ambience,negative,1
"Forget the rush and the wait and the noise (which isn't actually that bad), I mean please, who goes to a steakhouse to be coddled and romantic?",ambience,negative,1
Baluchi's has solid food and a nice decor at reasonable prices.,ambience,positive,3
"It's the perfect restaurant for NY life style, it got cool design, awsome drinks and food and lot's of good looking people eating and hanging at the pink bar...",ambience,positive,3
"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",ambience,positive,3
The decor is very simple but comfortable.,ambience,positive,3
"If your visiting, you'll enjoy the ambiance and the fact that it's in Time Sq...",ambience,positive,3
The service was friendly and the atmosphere was casual.,ambience,positive,3
"Great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom.",ambience,positive,3
The atmosphere is much better than Sripraphai (more modern and sleek).,ambience,positive,3
Romantic if you want it to be (brightly lit).,ambience,positive,3
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",ambience,positive,3
Ambiance is barely romantic but management tries.,ambience,negative,1
The jukebox plays everything from Italian Opera to The Strokes.,ambience,neutral,2
"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.",ambience,positive,3
also make sure you pay attention to the music being piped in - quite a weird selection.,ambience,neutral,2
The red sliding doors may be unique but they do not block off the cold air from the outside.,ambience,negative,1
"You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.",ambience,positive,3
"Having discovered Ping's on the internet, we entered with qualms but were instantly put to ease by the fish tanks that greet you as u walk in.",ambience,positive,3
"Otherwise, this place has great service and prices and a nice friendly atmosphere.",ambience,positive,3
Cute and decorative.,ambience,positive,3
"THe back garden sitting area is very pleasant, where you can see their personal herb garden.",ambience,positive,3
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",ambience,positive,3
"great for a romantic evening, or a fun evening with friends...",ambience,positive,3
"The staff was accomodating, the food was absolutely delicious and the place is lovely.",ambience,positive,3
I in all reality felt as if I had just gotten off Air France and was in the 8th District in Paris.,ambience,positive,3
If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,ambience,positive,3
The place's decor and hidden bathrooms made for a good laugh.,ambience,positive,3
The ceiling is amazing!,ambience,positive,3
The food is usually good but it certainly isn't a relaxing place to go.,ambience,negative,1
Here you get the zen feel without feeling rigid.,ambience,positive,3
The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,ambience,positive,3
Delicious food at a great price but do not go here on a cold day and sit by the front door.,ambience,negative,1
"Good atmosphere, combination of all the hottest music dress code is relatively strict except on Fridays.",ambience,positive,3
"A very inviting restaurant, with friendly service.",ambience,positive,3
I think the restaurant was too loud (when full) to be romantic.,ambience,negative,1
"It is set far from the small street it's on, and there is no traffic noise.",ambience,positive,3
"whoever the jazz duo was, they were on POINT.",ambience,positive,3
They also have a back garden open in the summer - cute and French with outdoor seating - what more could you ask for?,ambience,positive,3
"The in-house lady DJ on Saturday nights has outrageously good taste in music, and moreover, takes requests.",ambience,positive,3
The quality of food at this restaurant accompanied  by fantastic live jazz makes this place a perfect 10!,ambience,positive,3
I don't know who they think they are but they have no respect for the residents of the neighborhood ever since they opened their cabaret next door and blasts loud music till three in the morning every weekend during the summer.,ambience,negative,1
"Excellent dumplings served amid clean, chic decor.",ambience,positive,3
If I wanted to deal with a crappy scene and annoying customers I'd go out in Manhattan.,ambience,negative,1
The setting is casual and romantic.,ambience,positive,3
Downstairs lounge is always a good attraction,ambience,positive,3
"While this is a pretty place in that overly cute French way, the food was insultingly horrible.",ambience,positive,3
The people in the restaurant were pretty obnoxious and loud.,ambience,negative,1
"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",ambience,positive,3
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,ambience,positive,3
"Of course, it is crowded but who cares.",ambience,positive,3
"It's also attached to Angel's Share, which is a cool, more romantic bar...",ambience,positive,3
I do suggest to ask to be seated upstairs if you are looking to be a little cozy.,ambience,positive,3
I loved everythig about it-especially the shows and actors.,ambience,positive,3
"Where tanks in other Chinatown restaurants display a lurking myriad of sad-looking marine life in their murky waters, the tanks at Ping's are clear as glass with healthy-looking creatures who do not yet know that they will be part of some dim sum lover's brunch.",ambience,positive,3
"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list.",ambience,positive,3
Great atmoshere and worth every bit.,ambience,positive,3
"This place is cool enough to be in the East Village, but French enough to make you feel like you could be in a bistro in a back alley in Paris.",ambience,positive,3
Love the Jazz bands on Fri and Sat.,ambience,positive,3
"First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.",ambience,negative,1
Right off the major deegan you get ladies from all over the city.,ambience,positive,3
"This is the only Thai place I go too in NYC, it's wonderful, and live relaxed Jazz on certain nights.",ambience,positive,3
Its an excellent place to relax and the food is one of the best in the city of New York.,ambience,positive,3
delicious simple food in nice outdoor atmosphere.,ambience,positive,3
This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.,ambience,positive,3
"While Sapphire is certainly not lacking in ambiance, and probably has the best decor of any Indian restaurant I have been to in New York City, the food was not what I had hoped for.",ambience,positive,3
Metrazur has a beautiful spot overlooking the main terminal.,ambience,positive,3
"So, the menu is written in chalk above your head and it all sounds delicious.",ambience,positive,3
